date,amount,category,description
01-01-2024,50000.00,Income,Salary
02-01-2024,4500.50,Expense,Groceries
03-01-2024,12000.00,Income,Freelance Project
04-01-2024,3000.75,Expense,Electricity Bill
05-01-2024,6000.00,Expense,House Rent
06-01-2024,7000.00,Income,Stock Market Gains
07-01-2024,1500.25,Expense,Internet Bill
08-01-2024,2000.00,Expense,Transportation
09-01-2024,5500.00,Income,Part-time Work
10-01-2024,2500.50,Expense,Medical Expenses
11-01-2024,7200.00,Income,Consulting Fees
12-01-2024,3800.75,Expense,Shopping
13-01-2024,9100.00,Income,Investment Returns
14-01-2024,1800.25,Expense,Mobile Recharge
15-01-2024,12500.00,Income,Freelance Work
16-01-2024,4000.00,Expense,Dining Out
17-01-2024,6200.00,Income,Side Business
18-01-2024,2900.00,Expense,Fuel
19-01-2024,5000.00,Expense,Education Fees
20-01-2024,8700.00,Income,Project Bonus
21-01-2024,3300.50,Expense,Home Maintenance
22-01-2024,2600.00,Expense,Gym Membership
23-01-2024,9300.00,Income,Content Writing
24-01-2024,1500.00,Expense,Subscriptions
25-01-2024,5800.00,Income,Affiliate Marketing
26-01-2024,2200.00,Expense,Clothing
27-01-2024,6800.00,Income,Freelance Graphics
28-01-2024,3100.00,Expense,Movie & Entertainment
29-01-2024,7400.00,Income,Side Hustle
30-01-2024,2700.00,Expense,Car Maintenance
31-01-2024,11000.00,Income,Performance Bonus
01-02-2024,3400.00,Expense,Travel Expenses
02-02-2024,15000.00,Income,Contract Payment
